"TRADINGDATE","FUNDCLASSID","SYMBOL","NAV","ACCUMULATIVENAV","NAVGROWTHRATE","ACCUMULATIVENAVGROWTH","ADJUSTFACTOR","ACCADJUSTFACTOR","ADJUSTEDNAV","ADJUSTEDNAVGROWTH","RISKPREMIUM","UPDATEID","UPDATESTATE","UPDATETIME","BUSINESSTIME","UTSID"
2018-09-28 00:00:00.000,202000007287,"004685",1.0586,1.0586,0.066169,0.066169,1.000000,1.000000,1.058600,0.066169,0.062069,55012380,1,2018-09-28 22:56:45.000,2018-09-28 20:50:08.000,20035584
2018-12-10 00:00:00.000,202000007287,"004685",1.0853,1.0853,0.046091,0.046091,1.000000,1.000000,1.085300,0.046091,0.041991,66866903,1,2018-12-11 02:04:40.000,2018-12-10 20:50:49.000,21205953
2019-02-18 00:00:00.000,202000007287,"004685",1.0918,1.0918,0.064155,0.064155,1.000000,1.000000,1.091800,0.064155,0.060055,70058096,1,2019-02-19 02:37:07.000,2019-02-18 20:50:48.000,22814793
2019-04-22 00:00:00.000,202000007287,"004685",1.0976,1.0976,-0.027325,-0.027325,1.000000,1.000000,1.097600,-0.027325,-0.031425,73491884,1,2019-04-23 03:06:40.000,2019-04-22 23:30:48.000,23897193
2019-06-27 00:00:00.000,202000007287,"004685",1.1441,1.1441,0.236552,0.236552,1.000000,1.000000,1.144100,0.236552,0.232452,136671823,1,2019-07-04 01:59:41.000,2019-06-27 20:47:31.000,26570155
2019-08-20 00:00:00.000,202000007287,"004685",1.1211,1.1211,0.160815,0.160815,1.000000,1.000000,1.121100,0.160815,0.156715,138402495,1,2019-08-21 19:01:16.000,2019-08-20 20:50:34.000,27938185
2019-10-18 00:00:00.000,202000007287,"004685",1.1532,1.1532,-0.774393,-0.774393,1.000000,1.000000,1.153200,-0.774393,-0.778493,146376093,1,2019-10-21 19:06:33.000,2019-10-18 20:53:56.000,29673108
2019-12-09 00:00:00.000,202000007287,"004685",1.1675,1.1675,-0.094130,-0.094130,1.000000,1.000000,1.167500,-0.094130,-0.098230,147792507,1,2019-12-10 19:09:08.000,2019-12-09 20:53:46.000,31190420
2020-02-05 00:00:00.000,202000007287,"004685",1.1253,1.1253,2.151416,2.151416,1.000000,1.000000,1.125300,2.151416,2.147316,151868112,1,2020-02-05 22:08:43.000,2020-02-05 20:51:46.000,37081814
2020-03-30 00:00:00.000,202000007287,"004685",1.2642,1.2642,-1.710465,-1.710465,1.000000,1.000000,1.264200,-1.710465,-1.714565,153761507,1,2020-03-30 22:05:51.000,2020-03-30 20:52:15.000,39140527
2020-05-20 00:00:00.000,202000007287,"004685",1.3179,1.3179,-0.400544,-0.400544,1.000000,1.000000,1.317900,-0.400544,-0.404644,154253175,1,2020-05-20 22:08:28.000,2020-05-20 20:52:02.000,39535424
2020-07-01 00:00:00.000,202000007287,"004685",1.4088,1.4088,0.349028,0.349028,1.000000,1.000000,1.408800,0.349028,0.344928,155158594,1,2020-07-01 22:07:09.000,2020-07-01 20:51:15.000,40001861
2020-08-20 00:00:00.000,202000007287,"004685",1.7291,1.7291,-0.397465,-0.397465,1.000000,1.000000,1.729100,-0.397465,-0.401565,156546599,1,2020-08-20 23:05:25.000,2020-08-20 21:53:17.000,40487717
2020-10-13 00:00:00.000,202000007287,"004685",1.8199,1.8199,-0.093325,-0.093325,1.000000,1.000000,1.819900,-0.093325,-0.097425,157047419,1,2020-10-13 23:04:52.000,2020-10-13 21:52:06.000,40913963
2020-11-19 00:00:00.000,202000007287,"004685",1.8697,1.8697,0.010698,0.010698,1.000000,1.000000,1.869700,0.010698,0.006598,157968964,1,2020-11-19 22:12:55.000,2020-11-19 20:51:59.000,41651781
